Galaxy,Subsample,Filter,z,t_L (Gyr),λ rf (μm),M rf,M F814W,N arms,R_25 (kpc),N_c,C/T,C/T_F814W,r_c/h,f_cs(0.2)
EGS24154,CEERS,F115W,1.174,8.34,0.531,-22.78,-23.46,4,21.552,18,0.049,0.04,2.02,0.5
EGS24154,CEERS,F150W,1.174,8.34,0.69,-23.24,-23.46,4,22.44,19,0.043,0.04,2.54,0.47
EGS24154,CEERS,F200W,1.174,8.34,0.915,-23.62,-23.46,4,24.602,22,0.038,0.04,2.61,0.45
EGS24154,CEERS,F277W,1.174,8.34,1.282,-23.98,-23.46,4,28.004,20,0.026,0.04,3.22,0.6
EGS24154,CEERS,F356W,1.174,8.34,1.639,-24.07,-23.46,4,28.27,19,0.026,0.04,3.28,0.58
EGS24154,CEERS,F410M,1.174,8.34,1.882,-24.06,-23.46,4,28.864,19,0.028,0.04,3.21,0.58
EGS24154,CEERS,F444W,1.174,8.34,2.034,-24.01,-23.46,4,27.224,19,0.027,0.04,3.39,0.58
EGS24268,CEERS,F200W,2.305,10.67,0.602,-22.05,-22.24,2,23.498,2,0.013,0.01,1.83,0.0
EGS24268,CEERS,F277W,2.305,10.67,0.843,-22.29,-22.24,2,18.388,2,0.01,0.01,2.08,0.0
EGS24268,CEERS,F356W,2.305,10.67,1.078,-22.59,-22.24,2,17.735,2,0.01,0.01,2.5,0.0
EGS24268,CEERS,F410M,2.305,10.67,1.238,-22.74,-22.24,2,,2,0.014,0.01,3.47,0.0
EGS24268,CEERS,F444W,2.305,10.67,1.338,-22.81,-22.24,2,23.568,2,0.011,0.01,2.63,0.0
EGS25604,CEERS,F115W,1.664,9.63,0.433,-22.29,-23.49,1,17.096,15,0.056,0.043,1.78,0.6
EGS25604,CEERS,F150W,1.664,9.63,0.563,-22.9,-23.49,1,20.316,16,0.045,0.043,1.99,0.5
EGS25604,CEERS,F200W,1.664,9.63,0.747,-23.37,-23.49,1,22.373,15,0.044,0.043,2.04,0.53
EGS25604,CEERS,F277W,1.664,9.63,1.046,-23.88,-23.49,1,27.933,15,0.042,0.043,2.31,0.4
EGS25604,CEERS,F356W,1.664,9.63,1.338,-24.06,-23.49,1,26.212,13,0.043,0.043,2.42,0.38
EGS25604,CEERS,F410M,1.664,9.63,1.536,-24.2,-23.49,1,27.895,12,0.041,0.043,2.43,0.33
EGS25604,CEERS,F444W,1.664,9.63,1.66,-24.31,-23.49,1,28.721,13,0.041,0.043,2.41,0.31
EGS25879,CEERS,F115W,1.47,9.19,0.467,-23.33,-24.27,3,22.173,25,0.083,0.05,1.88,0.48
EGS25879,CEERS,F150W,1.47,9.19,0.608,-23.88,-24.27,3,26.851,26,0.067,0.05,1.93,0.5
EGS25879,CEERS,F200W,1.47,9.19,0.806,-24.27,-24.27,3,26.707,28,0.05,0.05,1.88,0.46
EGS25879,CEERS,F277W,1.47,9.19,1.128,-24.77,-24.27,3,27.893,23,0.033,0.05,1.97,0.43
EGS25879,CEERS,F356W,1.47,9.19,1.442,-25.03,-24.27,3,29.945,23,0.032,0.05,1.87,0.52
EGS25879,CEERS,F410M,1.47,9.19,1.657,-25.21,-24.27,3,29.913,20,0.035,0.05,2.22,0.4
EGS25879,CEERS,F444W,1.47,9.19,1.79,-25.22,-24.27,3,30.133,19,0.034,0.05,2.31,0.42
EGS26748,CEERS,F115W,1.204,8.44,0.524,-21.71,-22.12,2,14.733,22,0.101,0.086,2.9,0.32
EGS26748,CEERS,F150W,1.204,8.44,0.681,-22.01,-22.12,2,19.634,20,0.085,0.086,2.99,0.4
EGS26748,CEERS,F200W,1.204,8.44,0.903,-22.18,-22.12,2,17.225,22,0.087,0.086,2.91,0.32
EGS26748,CEERS,F277W,1.204,8.44,1.264,-22.43,-22.12,2,16.002,18,0.048,0.086,3.07,0.28
EGS26748,CEERS,F356W,1.204,8.44,1.617,-22.43,-22.12,2,15.823,17,0.058,0.086,3.22,0.24
EGS26748,CEERS,F410M,1.204,8.44,1.857,-22.46,-22.12,2,17.137,16,0.044,0.086,3.12,0.19
EGS26748,CEERS,F444W,1.204,8.44,2.006,-22.38,-22.12,2,15.249,16,0.047,0.086,3.58,0.19
EGS26831,CEERS,F200W,1.543,9.37,0.782,-22.43,-22.47,2,,9,0.032,0.031,1.45,0.44
EGS26831,CEERS,F277W,1.543,9.37,1.096,-22.76,-22.47,2,22.808,9,0.03,0.031,2.53,0.44
EGS26831,CEERS,F356W,1.543,9.37,1.401,-22.93,-22.47,2,22.728,9,0.025,0.031,2.59,0.44
EGS26831,CEERS,F410M,1.543,9.37,1.609,-23.07,-22.47,2,21.934,9,0.021,0.031,2.52,0.44
EGS26831,CEERS,F444W,1.543,9.37,1.738,-23.08,-22.47,2,22.892,9,0.022,0.031,2.53,0.44
EGS27059,CEERS,F115W,1.094,8.07,0.551,-22.32,-22.82,4,16.992,22,0.063,0.053,2.31,0.36
EGS27059,CEERS,F150W,1.094,8.07,0.717,-22.68,-22.82,4,17.471,24,0.058,0.053,2.55,0.21
EGS27059,CEERS,F200W,1.094,8.07,0.95,-23.0,-22.82,4,18.5,23,0.046,0.053,2.62,0.3
EGS27059,CEERS,F277W,1.094,8.07,1.33,-23.34,-22.82,4,19.664,24,0.038,0.053,2.89,0.29
EGS27059,CEERS,F356W,1.094,8.07,1.702,-23.51,-22.82,4,20.682,25,0.034,0.053,2.77,0.28
EGS27059,CEERS,F410M,1.094,8.07,1.954,-23.47,-22.82,4,21.671,23,0.037,0.053,2.56,0.35
EGS27059,CEERS,F444W,1.094,8.07,2.111,-23.41,-22.82,4,22.03,23,0.031,0.053,2.72,0.35
EGS27976,CEERS,F115W,1.05,7.91,0.563,-21.59,-21.84,3,14.865,15,0.049,0.044,2.4,0.47
EGS27976,CEERS,F150W,1.05,7.91,0.732,-21.79,-21.84,3,14.633,13,0.042,0.044,2.65,0.38
EGS27976,CEERS,F200W,1.05,7.91,0.971,-21.9,-21.84,3,16.0,17,0.048,0.044,2.84,0.29
EGS27976,CEERS,F277W,1.05,7.91,1.359,-22.06,-21.84,3,16.127,12,0.033,0.044,2.91,0.33
EGS27976,CEERS,F356W,1.05,7.91,1.738,-22.14,-21.84,3,15.853,14,0.029,0.044,2.98,0.36
